Network,Feature,EffectSize
Buckner,DFA,-0.17611798475610452
Buckner,HFD,0.11224338325953911
Buckner,Spectral_Slope,-0.1367644729076633
ContA,DFA,-0.05912640892557112
ContA,HFD,-0.0038612289324465054
ContA,Spectral_Slope,-0.009759774529174104
ContB,DFA,-0.19454725151549926
ContB,HFD,0.11986271875659435
ContB,Spectral_Slope,-0.03312406211341704
ContC,DFA,-0.048876381011451024
ContC,HFD,-0.04432963664454703
ContC,Spectral_Slope,0.007897204805463734
DefaultA,DFA,-0.030449237893634643
DefaultA,HFD,-0.0021851495215525363
DefaultA,Spectral_Slope,0.08051784546701125
DefaultB,DFA,-0.17962774716827104
DefaultB,HFD,0.12260513598878343
DefaultB,Spectral_Slope,-0.036816982175500744
DefaultC,DFA,-0.03225961873995365
DefaultC,HFD,-0.01955817788831738
DefaultC,Spectral_Slope,-0.04132189147087727
DorsAttnA,DFA,0.07743168433336617
DorsAttnA,HFD,-0.06097035177019939
DorsAttnA,Spectral_Slope,0.0043207736283318015
DorsAttnB,DFA,0.12837323509981866
DorsAttnB,HFD,-0.16879092305876633
DorsAttnB,Spectral_Slope,0.12593257848514214
Limbic,DFA,-0.12969240551632713
Limbic,HFD,0.038246700794780306
Limbic,Spectral_Slope,0.05093707483865422
SalVentAttnA,DFA,0.17311155585578314
SalVentAttnA,HFD,-0.18530006670195406
SalVentAttnA,Spectral_Slope,0.18389263939871256
SalVentAttnB,DFA,-0.14093041896722114
SalVentAttnB,HFD,0.11394159683741041
SalVentAttnB,Spectral_Slope,-0.06885188282410248
SomMotA,DFA,0.0669434439875238
SomMotA,HFD,-0.08302061108566261
SomMotA,Spectral_Slope,0.0472185050675087
SomMotB,DFA,0.20748701479724507
SomMotB,HFD,-0.25604404674829945
SomMotB,Spectral_Slope,0.1831631732505668
Subcortical,DFA,-0.07886926560398892
Subcortical,HFD,0.11861035635958253
Subcortical,Spectral_Slope,0.0288405614701548
TempPar,DFA,0.17111821069965133
TempPar,HFD,-0.15105104738239294
TempPar,Spectral_Slope,0.11283924619878262
VisCent,DFA,-0.05954063688553466
VisCent,HFD,0.08394950313761489
VisCent,Spectral_Slope,-0.10080679756913245
VisPeri,DFA,-0.006095249125639951
VisPeri,HFD,-0.02487419769590196
VisPeri,Spectral_Slope,-0.04578030988176082
