Version,TopK,Mean_AUC,Std_AUC,Mean_Accuracy,Mean_BalancedAccuracy,Mean_Sensitivity,Mean_Specificity
1,5,0.6227495271612918,0.0830881228809001,0.7226255293405929,0.5737718164188753,0.38095238095238093,0.7665912518853695
1,10,0.665726974550504,0.10480417153121506,0.745412381528534,0.6484055160525748,0.5238095238095238,0.7730015082956259
1,20,0.6567669802963921,0.09598706595155022,0.7573099415204677,0.6835452129569778,0.5873015873015873,0.779788838612368
1,30,0.64941104646987,0.11121928859713508,0.7513611615245009,0.5899231487466782,0.38095238095238093,0.7988939165409753
1,50,0.6553604347721994,0.14049455827261528,0.762855414398064,0.6169378007613301,0.42857142857142855,0.8053041729512317
2,5,0.4374117168234815,0.18389075074966463,0.647610405323654,0.4370286576168929,0.16666666666666666,0.7073906485671192
2,10,0.44300797241973705,0.12458671118885659,0.6301673724541238,0.447954822954823,0.21428571428571427,0.6816239316239315
2,20,0.4774174627115803,0.12520521475842183,0.699737850373059,0.4416163901458019,0.1111111111111111,0.7721216691804926
2,30,0.50493487993488,0.1872604289439503,0.7283726557773744,0.45770487682252387,0.1111111111111111,0.8042986425339368
2,50,0.5435041537982714,0.12413497518792696,0.7343214357733414,0.4815772462831287,0.15873015873015872,0.8044243338360987
3,5,0.547747731571261,0.2559120740496793,0.6708005646299657,0.5646502190619836,0.42857142857142855,0.700729009552539
3,10,0.4219067969067969,0.12633904426644094,0.6356120185521275,0.4754812181282769,0.2698412698412698,0.681121166415284
3,20,0.5066975508151979,0.10890259162407456,0.6875378100423472,0.5047672915319974,0.2698412698412698,0.739693313222725
3,30,0.4864403026167732,0.0981848989697465,0.7054849768098407,0.444947209653092,0.1111111111111111,0.7787833081950728
3,50,0.5605742296918769,0.07875193967200303,0.7109296229078442,0.5177134956546722,0.2698412698412698,0.7655857214680745
4,5,0.44718870454164567,0.11541850347402395,0.6241177656785643,0.4895496660202543,0.31746031746031744,0.661639014580191
4,10,0.5295793531087649,0.09918926010892966,0.699737850373059,0.5604485383897148,0.38095238095238093,0.7399446958270488
4,20,0.5320901865019512,0.13027655100062518,0.6936882435974995,0.5079095740860448,0.2698412698412698,0.7459778783308195
4,30,0.5760402451578922,0.011528122670170452,0.70508166969147,0.5349242261006967,0.31746031746031744,0.7523881347410759
4,50,0.5626301802772391,0.05260691468076322,0.7345230893325266,0.5306596997773468,0.2698412698412698,0.7914781297134238
5,5,0.4727489286312816,0.26071774724695806,0.647912885662432,0.5312253106370753,0.38095238095238093,0.6814982403217696
5,10,0.5311804208863032,0.21753345772922747,0.6656583988707401,0.5204248366013072,0.3333333333333333,0.7075163398692811
5,20,0.5857094974742033,0.2551755448955721,0.7117362371445856,0.5627648495295554,0.373015873015873,0.7525138260432378
5,30,0.5798498886734181,0.14768850038147396,0.7692075015124017,0.5054047259929613,0.16666666666666666,0.8441427853192559
5,50,0.5776263496851732,0.17043057573480122,0.7572091147408752,0.49855455002513827,0.16666666666666666,0.8304424333836099
